Soil Type,Moisture Content (%),Wilting Point (%),Recommended Fertilizers
Sandy Loam,20.37,12.44,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,35.58,39.08,"Micro-Nutrients, Potash"
Clay,28.26,41.0,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,27.02,31.63,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,34.81,35.09,"Micro-Nutrients, Potash"
Clay Loam,36.98,29.62,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,32.05,29.07,"DAP (Diammonium Phosphate), Nitrogen"
Loam,28.67,15.99,"Compost, Nitrogen, Phosphorus"
Clay Loam,31.14,30.55,"Nitrogen, Potassium, Phosphorus"
Loam,23.23,13.44,"Compost, Nitrogen, Phosphorus"
Clay Loam,31.32,25.51,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,11.53,6.24,"Organic Fertilizer, Nitrogen"
Clay,27.01,36.41,"Urea, Potassium, Nitrogen"
Sand,13.45,5.44,"Nitrogen, Potassium"
Silty Clay,36.29,35.69,"Micro-Nutrients, Potash"
Silty Clay,30.26,34.64,"Micro-Nutrients, Potash"
Sandy Clay Loam,27.71,25.41,"DAP (Diammonium Phosphate), Nitrogen"
Sand,8.93,6.34,"Nitrogen, Potassium"
Loam,28.72,18.56,"Compost, Nitrogen, Phosphorus"
Sand,14.16,3.1,"Nitrogen, Potassium"
Sandy Clay Loam,30.11,25.28,"DAP (Diammonium Phosphate), Nitrogen"
Loam,20.33,19.61,"Compost, Nitrogen, Phosphorus"
Loamy Sand,17.72,9.58,"Organic Fertilizer, Nitrogen"
Loamy Sand,17.67,6.93,"Organic Fertilizer, Nitrogen"
Loamy Sand,12.65,5.11,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,30.93,27.77,"Potash, Nitrogen, Micro-Nutrients"
Clay,32.72,48.24,"Urea, Potassium, Nitrogen"
Silty Clay,35.45,39.32,"Micro-Nutrients, Potash"
Clay Loam,34.43,33.67,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,36.51,21.1,"Potash, Nitrogen, Micro-Nutrients"
Sand,6.61,2.95,"Nitrogen, Potassium"
Silty Clay Loam,33.2,28.96,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,32.45,31.73,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,31.85,37.98,"Micro-Nutrients, Potash"
Clay Loam,32.37,30.58,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,24.37,14.86,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,33.57,20.56,"Phosphorus, Nitrogen, Potash"
Clay Loam,32.95,32.74,"Nitrogen, Potassium, Phosphorus"
Clay Loam,35.25,34.63,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,16.68,11.5,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,35.08,26.41,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,39.67,20.92,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,17.53,7.56,"Organic Fertilizer, Nitrogen"
Loam,24.04,14.3,"Compost, Nitrogen, Phosphorus"
Loam,28.37,17.64,"Compost, Nitrogen, Phosphorus"
Sand,13.21,7.93,"Nitrogen, Potassium"
Sand,7.77,1.48,"Nitrogen, Potassium"
Loamy Sand,17.33,8.26,"Organic Fertilizer, Nitrogen"
Silt Loam,34.12,24.33,"Phosphorus, Nitrogen, Potash"
Loam,21.87,16.07,"Compost, Nitrogen, Phosphorus"
Sandy Loam,21.53,14.79,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,33.58,44.25,"Urea, Potassium, Nitrogen"
Sand,10.57,5.72,"Nitrogen, Potassium"
Sand,14.26,5.09,"Nitrogen, Potassium"
Silty Clay Loam,33.53,22.72,"Potash, Nitrogen, Micro-Nutrients"
Loam,27.35,18.74,"Compost, Nitrogen, Phosphorus"
Sand,10.66,3.45,"Nitrogen, Potassium"
Sand,5.85,5.84,"Nitrogen, Potassium"
Sand,12.53,1.68,"Nitrogen, Potassium"
Silty Clay,33.88,34.55,"Micro-Nutrients, Potash"
Clay,32.34,35.31,"Urea, Potassium, Nitrogen"
Silt Loam,32.87,20.25,"Phosphorus, Nitrogen, Potash"
Sand,6.24,3.06,"Nitrogen, Potassium"
Sandy Loam,22.89,11.53,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,35.73,36.74,"Micro-Nutrients, Potash"
Loamy Sand,17.99,5.48,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,30.94,31.95,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,29.0,22.94,"Phosphorus, Nitrogen, Potash"
Loam,22.57,12.32,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,38.42,22.36,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,30.61,26.24,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,11.34,5.68,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,37.1,22.44,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,28.24,30.5,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,39.2,32.6,"Micro-Nutrients, Potash"
Loam,25.21,17.62,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,27.62,30.54,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,30.41,34.4,"DAP (Diammonium Phosphate), Nitrogen"
Clay,33.36,38.89,"Urea, Potassium, Nitrogen"
Sandy Loam,20.03,12.24,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,7.07,2.22,"Nitrogen, Potassium"
Sandy Loam,24.7,12.99,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,18.87,13.27,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,35.08,38.98,"Micro-Nutrients, Potash"
Silt Loam,27.66,24.61,"Phosphorus, Nitrogen, Potash"
Sand,7.35,5.72,"Nitrogen, Potassium"
Silty Clay,33.82,32.01,"Micro-Nutrients, Potash"
Clay Loam,36.83,29.93,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,21.77,13.62,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,34.34,25.44,"Nitrogen, Potassium, Phosphorus"
Loam,20.94,18.29,"Compost, Nitrogen, Phosphorus"
Silty Clay,36.08,38.07,"Micro-Nutrients, Potash"
Loamy Sand,16.25,5.96,"Organic Fertilizer, Nitrogen"
Clay,31.7,44.16,"Urea, Potassium, Nitrogen"
Sandy Loam,19.65,13.34,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,12.93,5.29,"Nitrogen, Potassium"
Silty Clay,32.54,31.26,"Micro-Nutrients, Potash"
Silty Clay Loam,30.6,20.61,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,39.98,30.39,"Nitrogen, Potassium, Phosphorus"
Silty Clay,31.81,37.89,"Micro-Nutrients, Potash"
Silty Clay,35.02,32.56,"Micro-Nutrients, Potash"
Sandy Loam,18.92,14.3,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,7.54,1.63,"Nitrogen, Potassium"
Loam,21.51,18.98,"Compost, Nitrogen, Phosphorus"
Loamy Sand,15.73,9.64,"Organic Fertilizer, Nitrogen"
Loam,20.46,17.72,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,31.35,34.11,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,25.03,24.77,"Phosphorus, Nitrogen, Potash"
Sandy Clay Loam,28.12,25.23,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,34.97,29.26,"Potash, Nitrogen, Micro-Nutrients"
Silty Clay,34.7,35.01,"Micro-Nutrients, Potash"
Loam,26.19,15.7,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,32.28,20.92,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,37.92,32.61,"Nitrogen, Potassium, Phosphorus"
Loam,20.83,13.6,"Compost, Nitrogen, Phosphorus"
Clay Loam,35.05,26.23,"Nitrogen, Potassium, Phosphorus"
Silty Clay,39.32,32.39,"Micro-Nutrients, Potash"
Clay,26.84,44.7,"Urea, Potassium, Nitrogen"
Silty Clay,39.22,34.35,"Micro-Nutrients, Potash"
Silt Loam,34.1,16.41,"Phosphorus, Nitrogen, Potash"
Loam,28.68,13.46,"Compost, Nitrogen, Phosphorus"
Sand,7.49,3.45,"Nitrogen, Potassium"
Sand,6.38,7.06,"Nitrogen, Potassium"
Loamy Sand,19.69,5.72,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,32.99,23.43,"Potash, Nitrogen, Micro-Nutrients"
Loam,26.04,19.36,"Compost, Nitrogen, Phosphorus"
Sandy Loam,20.25,12.21,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,39.45,39.88,"Micro-Nutrients, Potash"
Clay Loam,39.65,31.89,"Nitrogen, Potassium, Phosphorus"
Clay Loam,32.12,28.22,"Nitrogen, Potassium, Phosphorus"
Sand,13.49,5.49,"Nitrogen, Potassium"
Silty Clay,31.62,36.61,"Micro-Nutrients, Potash"
Sand,5.5,4.09,"Nitrogen, Potassium"
Sandy Clay Loam,33.62,25.53,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,31.48,28.85,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,15.25,8.71,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,33.21,32.77,"DAP (Diammonium Phosphate), Nitrogen"
Clay,26.73,47.69,"Urea, Potassium, Nitrogen"
Sandy Loam,16.11,14.65,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay,27.1,41.44,"Urea, Potassium, Nitrogen"
Clay,29.06,36.67,"Urea, Potassium, Nitrogen"
Sandy Clay Loam,33.63,32.98,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,19.85,7.57,"Organic Fertilizer, Nitrogen"
Silty Clay,35.78,35.0,"Micro-Nutrients, Potash"
Sandy Loam,15.38,14.93,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,25.47,15.52,"Compost, Nitrogen, Phosphorus"
Loamy Sand,19.57,8.01,"Organic Fertilizer, Nitrogen"
Clay Loam,36.7,29.03,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,19.1,10.09,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,27.41,12.74,"Compost, Nitrogen, Phosphorus"
Silt Loam,30.16,21.05,"Phosphorus, Nitrogen, Potash"
Sand,8.35,7.0,"Nitrogen, Potassium"
Loamy Sand,13.35,7.66,"Organic Fertilizer, Nitrogen"
Silty Clay,39.1,38.5,"Micro-Nutrients, Potash"
Clay,34.97,43.21,"Urea, Potassium, Nitrogen"
Sand,13.1,1.14,"Nitrogen, Potassium"
Loamy Sand,19.15,5.38,"Organic Fertilizer, Nitrogen"
Silty Clay,30.76,36.31,"Micro-Nutrients, Potash"
Clay,32.51,49.64,"Urea, Potassium, Nitrogen"
Loamy Sand,13.57,6.3,"Organic Fertilizer, Nitrogen"
Silty Clay,38.73,37.68,"Micro-Nutrients, Potash"
Silty Clay Loam,33.54,22.42,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,34.43,29.06,"Nitrogen, Potassium, Phosphorus"
Silt Loam,33.09,19.03,"Phosphorus, Nitrogen, Potash"
Clay Loam,38.8,29.6,"Nitrogen, Potassium, Phosphorus"
Silty Clay,37.95,38.85,"Micro-Nutrients, Potash"
Clay,34.19,42.21,"Urea, Potassium, Nitrogen"
Sandy Loam,24.97,11.39,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,37.78,34.98,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,34.79,29.79,"Potash, Nitrogen, Micro-Nutrients"
Sand,8.63,1.86,"Nitrogen, Potassium"
Clay Loam,31.95,34.53,"Nitrogen, Potassium, Phosphorus"
Silty Clay,39.9,32.96,"Micro-Nutrients, Potash"
Sandy Loam,23.12,13.54,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Clay Loam,31.31,30.78,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,19.03,5.08,"Organic Fertilizer, Nitrogen"
Silt Loam,32.88,20.17,"Phosphorus, Nitrogen, Potash"
Loam,21.07,12.52,"Compost, Nitrogen, Phosphorus"
Loamy Sand,16.56,6.06,"Organic Fertilizer, Nitrogen"
Loam,27.84,12.63,"Compost, Nitrogen, Phosphorus"
Loamy Sand,18.79,5.98,"Organic Fertilizer, Nitrogen"
Silty Clay,30.19,39.45,"Micro-Nutrients, Potash"
Sand,5.65,6.37,"Nitrogen, Potassium"
Clay,29.8,35.44,"Urea, Potassium, Nitrogen"
Clay,30.96,41.42,"Urea, Potassium, Nitrogen"
Clay,27.99,47.47,"Urea, Potassium, Nitrogen"
Sandy Loam,21.97,12.7,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,37.33,34.19,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,36.12,26.28,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,23.89,11.53,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,36.98,28.33,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,17.54,6.5,"Organic Fertilizer, Nitrogen"
Loam,26.2,18.7,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,26.97,34.83,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,28.88,32.38,"DAP (Diammonium Phosphate), Nitrogen"
Clay,27.42,35.23,"Urea, Potassium, Nitrogen"
Loam,23.51,14.32,"Compost, Nitrogen, Phosphorus"
Sandy Loam,20.72,10.1,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,30.4,39.56,"Micro-Nutrients, Potash"
Silt Loam,32.29,24.98,"Phosphorus, Nitrogen, Potash"
Loamy Sand,15.38,5.54,"Organic Fertilizer, Nitrogen"
Sand,14.27,6.4,"Nitrogen, Potassium"
Clay Loam,36.84,28.7,"Nitrogen, Potassium, Phosphorus"
Loamy Sand,17.19,8.66,"Organic Fertilizer, Nitrogen"
Silt Loam,31.33,15.35,"Phosphorus, Nitrogen, Potash"
Sand,12.72,7.1,"Nitrogen, Potassium"
Clay Loam,37.68,29.23,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,25.45,30.08,"DAP (Diammonium Phosphate), Nitrogen"
Sand,5.21,4.29,"Nitrogen, Potassium"
Silty Clay,36.29,33.54,"Micro-Nutrients, Potash"
Loamy Sand,14.01,8.72,"Organic Fertilizer, Nitrogen"
Silt Loam,33.12,23.28,"Phosphorus, Nitrogen, Potash"
Loamy Sand,11.7,7.51,"Organic Fertilizer, Nitrogen"
Clay Loam,37.07,32.77,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,31.64,33.72,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,19.98,8.01,"Organic Fertilizer, Nitrogen"
Clay,30.58,38.03,"Urea, Potassium, Nitrogen"
Clay,30.46,46.0,"Urea, Potassium, Nitrogen"
Clay Loam,37.48,30.58,"Nitrogen, Potassium, Phosphorus"
Silty Clay,38.14,39.35,"Micro-Nutrients, Potash"
Clay Loam,36.3,27.6,"Nitrogen, Potassium, Phosphorus"
Clay Loam,35.75,25.79,"Nitrogen, Potassium, Phosphorus"
Clay Loam,39.57,26.49,"Nitrogen, Potassium, Phosphorus"
Sand,12.46,7.01,"Nitrogen, Potassium"
Silty Clay,33.11,31.96,"Micro-Nutrients, Potash"
Silty Clay,34.08,31.77,"Micro-Nutrients, Potash"
Sandy Clay Loam,34.5,33.43,"DAP (Diammonium Phosphate), Nitrogen"
Loam,20.29,19.06,"Compost, Nitrogen, Phosphorus"
Loamy Sand,13.54,7.56,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,35.72,29.46,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,19.8,11.67,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,34.67,39.2,"Micro-Nutrients, Potash"
Sandy Clay Loam,28.62,30.87,"DAP (Diammonium Phosphate), Nitrogen"
Loamy Sand,14.36,8.92,"Organic Fertilizer, Nitrogen"
Silty Clay Loam,30.4,29.46,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,29.25,15.23,"Phosphorus, Nitrogen, Potash"
Loam,21.2,19.79,"Compost, Nitrogen, Phosphorus"
Sandy Loam,21.0,11.96,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,29.77,13.71,"Compost, Nitrogen, Phosphorus"
Sandy Loam,19.83,11.25,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loam,24.01,18.49,"Compost, Nitrogen, Phosphorus"
Sandy Loam,23.79,13.59,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,5.36,2.02,"Nitrogen, Potassium"
Loam,24.84,18.84,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,34.9,28.6,"DAP (Diammonium Phosphate), Nitrogen"
Sandy Clay Loam,26.28,28.22,"DAP (Diammonium Phosphate), Nitrogen"
Silt Loam,28.28,22.99,"Phosphorus, Nitrogen, Potash"
Silty Clay,34.07,35.99,"Micro-Nutrients, Potash"
Clay,30.11,41.28,"Urea, Potassium, Nitrogen"
Silty Clay,33.99,36.68,"Micro-Nutrients, Potash"
Silty Clay,35.3,34.52,"Micro-Nutrients, Potash"
Silty Clay Loam,39.89,24.53,"Potash, Nitrogen, Micro-Nutrients"
Sandy Loam,17.07,11.59,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silt Loam,25.42,15.13,"Phosphorus, Nitrogen, Potash"
Sand,14.32,4.65,"Nitrogen, Potassium"
Sandy Loam,24.02,14.55,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,12.97,7.95,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,35.0,34.05,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,38.87,38.33,"Micro-Nutrients, Potash"
Clay,32.66,39.93,"Urea, Potassium, Nitrogen"
Clay Loam,31.29,33.53,"Nitrogen, Potassium, Phosphorus"
Clay Loam,35.27,25.63,"Nitrogen, Potassium, Phosphorus"
Loam,24.78,19.77,"Compost, Nitrogen, Phosphorus"
Sandy Clay Loam,29.49,31.1,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,31.98,23.63,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,19.9,6.45,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,30.28,32.41,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay Loam,37.46,23.17,"Potash, Nitrogen, Micro-Nutrients"
Clay Loam,38.24,33.59,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,39.22,23.23,"Potash, Nitrogen, Micro-Nutrients"
Silt Loam,26.83,16.67,"Phosphorus, Nitrogen, Potash"
Clay Loam,33.66,32.78,"Nitrogen, Potassium, Phosphorus"
Sandy Clay Loam,30.29,25.48,"DAP (Diammonium Phosphate), Nitrogen"
Clay,29.89,36.49,"Urea, Potassium, Nitrogen"
Clay Loam,35.54,32.61,"Nitrogen, Potassium, Phosphorus"
Clay Loam,31.0,32.93,"Nitrogen, Potassium, Phosphorus"
Sandy Loam,22.76,14.55,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,17.89,12.6,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,34.39,30.78,"Micro-Nutrients, Potash"
Sandy Clay Loam,29.35,28.94,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,39.82,30.7,"Nitrogen, Potassium, Phosphorus"
Clay Loam,32.61,33.64,"Nitrogen, Potassium, Phosphorus"
Sand,14.17,1.76,"Nitrogen, Potassium"
Clay,25.84,37.22,"Urea, Potassium, Nitrogen"
Clay,25.25,43.03,"Urea, Potassium, Nitrogen"
Clay Loam,36.74,26.63,"Nitrogen, Potassium, Phosphorus"
Sand,14.09,2.42,"Nitrogen, Potassium"
Loam,27.34,18.96,"Compost, Nitrogen, Phosphorus"
Silty Clay Loam,34.37,25.39,"Potash, Nitrogen, Micro-Nutrients"
Sand,13.91,3.1,"Nitrogen, Potassium"
Sand,5.62,7.69,"Nitrogen, Potassium"
Sand,14.88,3.0,"Nitrogen, Potassium"
Sandy Loam,20.42,13.96,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sandy Loam,21.15,10.93,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,34.45,31.68,"Nitrogen, Potassium, Phosphorus"
Loam,23.27,19.49,"Compost, Nitrogen, Phosphorus"
Clay,28.87,44.72,"Urea, Potassium, Nitrogen"
Clay,25.35,36.0,"Urea, Potassium, Nitrogen"
Clay,32.78,40.29,"Urea, Potassium, Nitrogen"
Loamy Sand,18.96,5.29,"Organic Fertilizer, Nitrogen"
Silty Clay,30.33,36.38,"Micro-Nutrients, Potash"
Loam,27.74,13.48,"Compost, Nitrogen, Phosphorus"
Sandy Loam,20.35,13.36,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Clay Loam,30.38,28.96,"Nitrogen, Potassium, Phosphorus"
Silty Clay Loam,35.27,28.61,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,15.35,5.1,"Organic Fertilizer, Nitrogen"
Sandy Clay Loam,29.49,28.96,"DAP (Diammonium Phosphate), Nitrogen"
Clay Loam,35.08,25.19,"Nitrogen, Potassium, Phosphorus"
Silty Clay,30.42,35.8,"Micro-Nutrients, Potash"
Silt Loam,28.85,23.93,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,33.88,24.51,"Potash, Nitrogen, Micro-Nutrients"
Sandy Clay Loam,27.08,25.55,"DAP (Diammonium Phosphate), Nitrogen"
Silty Clay,34.9,38.77,"Micro-Nutrients, Potash"
Silt Loam,32.91,23.59,"Phosphorus, Nitrogen, Potash"
Loam,29.61,17.5,"Compost, Nitrogen, Phosphorus"
Sandy Loam,23.27,14.31,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Silty Clay,31.8,38.9,"Micro-Nutrients, Potash"
Sand,7.25,6.99,"Nitrogen, Potassium"
Loamy Sand,15.26,5.08,"Organic Fertilizer, Nitrogen"
Clay,29.04,39.9,"Urea, Potassium, Nitrogen"
Sandy Loam,20.19,10.42,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Loamy Sand,16.54,6.44,"Organic Fertilizer, Nitrogen"
Clay,29.95,44.39,"Urea, Potassium, Nitrogen"
Silty Clay Loam,33.37,21.95,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,16.96,9.14,"Organic Fertilizer, Nitrogen"
Silt Loam,32.96,23.4,"Phosphorus, Nitrogen, Potash"
Silty Clay Loam,38.36,25.29,"Potash, Nitrogen, Micro-Nutrients"
Loamy Sand,11.04,7.61,"Organic Fertilizer, Nitrogen"
Silt Loam,34.07,23.74,"Phosphorus, Nitrogen, Potash"
Sandy Loam,17.81,13.4,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
Sand,7.72,6.13,"Nitrogen, Potassium"
Sandy Loam,17.07,11.32,"NPK (Nitrogen, Phosphorus, Potassium), Potash"
